Index,Date,Open,High,Low,Close
SENSEX,2023-04-19,59745.89,59745.89,59452.72,59567.8
SENSEX,2023-04-20,59586.61,59836.79,59489.98,59632.35
SENSEX,2023-04-21,59538.79,59781.36,59412.81,59655.06
SENSEX,2023-04-24,59873.71,60101.64,59620.11,60056.1
SENSEX,2023-04-25,60202.77,60268.67,59967.02,60130.71
SENSEX,2023-04-26,60087.98,60362.79,59954.91,60300.58
SENSEX,2023-04-27,60315.56,60698.31,60271.49,60649.38
SENSEX,2023-04-28,60721.61,61209.46,60507.83,61112.44
SENSEX,2023-05-02,61301.61,61486.24,61255.0,61354.71
SENSEX,2023-05-03,61274.96,61274.96,61024.44,61193.3
SENSEX,2023-05-04,61258.13,61797.91,61119.56,61749.25
SENSEX,2023-05-05,61163.1,61585.5,61002.17,61054.29
SENSEX,2023-05-08,61166.09,61854.19,61166.09,61764.25
SENSEX,2023-05-09,61879.68,62027.51,61654.94,61761.33
SENSEX,2023-05-10,61843.36,61974.35,61572.93,61940.2
SENSEX,2023-05-11,62158.1,62168.22,61823.07,61904.52
SENSEX,2023-05-12,61857.69,62110.93,61578.15,62027.9
SENSEX,2023-05-15,62157.1,62562.67,61950.3,62345.71
SENSEX,2023-05-16,62474.11,62475.95,61847.41,61932.47
SENSEX,2023-05-17,61932.32,61979.94,61340.1,61560.64
SENSEX,2023-05-18,61937.86,61955.9,61349.34,61431.74
SENSEX,2023-05-19,61556.25,61784.61,61251.7,61729.68
SENSEX,2023-05-22,61579.78,62044.46,61579.78,61963.68
SENSEX,2023-05-23,62098.16,62245.19,61914.4,61981.79
SENSEX,2023-05-24,61834.28,62154.14,61708.1,61773.78
SENSEX,2023-05-25,61706.13,61934.01,61484.66,61872.62
SENSEX,2023-05-26,61985.36,62529.83,61911.61,62501.69
SENSEX,2023-05-29,62801.54,63026.0,62801.54,62846.38
SENSEX,2023-05-30,62839.85,63036.12,62737.4,62969.13
SENSEX,2023-05-31,62839.97,62876.77,62401.02,62622.24
SENSEX,2023-06-01,62736.47,62762.41,62359.14,62428.54
SENSEX,2023-06-02,62601.97,62719.84,62379.86,62547.11
SENSEX,2023-06-05,62759.19,62943.2,62751.72,62787.47
SENSEX,2023-06-06,62738.35,62867.95,62554.21,62792.88
SENSEX,2023-06-07,62917.39,63196.43,62841.95,63142.96
SENSEX,2023-06-08,63140.17,63321.4,62789.73,62848.64
SENSEX,2023-06-09,62810.68,62992.16,62594.74,62625.63
SENSEX,2023-06-12,62659.98,62804.89,62615.2,62724.71
SENSEX,2023-06-13,62779.14,63177.47,62777.04,63143.16
SENSEX,2023-06-14,63115.48,63274.03,63013.51,63228.51
SENSEX,2023-06-15,63153.78,63310.96,62871.08,62917.63
SENSEX,2023-06-16,62960.73,63520.36,62957.17,63384.58
SENSEX,2023-06-19,63474.21,63574.69,63047.83,63168.3
SENSEX,2023-06-20,63176.77,63440.19,62801.91,63327.7
SENSEX,2023-06-21,63467.46,63588.31,63315.62,63523.15
SENSEX,2023-06-22,63601.71,63601.71,63200.63,63238.89
SENSEX,2023-06-23,63124.28,63240.63,62874.12,62979.37
SENSEX,2023-06-26,62946.5,63136.09,62853.67,62970.0
SENSEX,2023-06-27,63151.85,63467.54,63054.84,63416.03
SENSEX,2023-06-28,63701.78,64050.44,63554.82,63915.42
SENSEX,2023-06-30,64068.44,64768.58,64068.44,64718.56
SENSEX,2023-07-03,64836.16,65300.35,64836.16,65205.05
SENSEX,2023-07-04,65503.85,65672.97,65171.06,65479.05
SENSEX,2023-07-05,65493.68,65584.33,65256.49,65446.04
SENSEX,2023-07-06,65391.88,65832.98,65328.29,65785.64
SENSEX,2023-07-07,65559.41,65898.98,65175.74,65280.45
SENSEX,2023-07-10,65482.33,65633.49,65246.4,65344.17
SENSEX,2023-07-11,65598.65,65870.59,65517.57,65617.84
SENSEX,2023-07-12,65759.28,65811.64,65320.25,65393.9
SENSEX,2023-07-13,65667.07,66064.21,65452.15,65558.89
SENSEX,2023-07-14,65775.49,66159.79,65610.82,66060.9
SENSEX,2023-07-17,66148.18,66656.21,66015.63,66589.93
SENSEX,2023-07-18,66828.96,67007.02,66574.47,66795.14
SENSEX,2023-07-19,66905.01,67171.38,66703.61,67097.44
SENSEX,2023-07-20,67074.34,67619.17,66831.38,67571.9
SENSEX,2023-07-21,66907.07,67190.52,66533.74,66684.26
SENSEX,2023-07-24,66629.14,66808.56,66326.25,66384.78
SENSEX,2023-07-25,66531.2,66559.29,66177.62,66355.71
SENSEX,2023-07-26,66434.72,66897.27,66431.34,66707.2
SENSEX,2023-07-27,66834.12,66984.17,66060.74,66266.82
SENSEX,2023-07-28,66266.35,66351.22,65878.65,66160.2
SENSEX,2023-07-31,66156.39,66598.42,65998.9,66527.67
SENSEX,2023-08-01,66532.98,66658.12,66388.26,66459.31
SENSEX,2023-08-02,66064.41,66261.97,65431.68,65782.78
SENSEX,2023-08-03,65550.82,65820.82,64963.08,65240.68
SENSEX,2023-08-04,65453.55,65799.27,65387.18,65721.25
SENSEX,2023-08-07,65811.4,66067.9,65748.25,65953.48
SENSEX,2023-08-08,66048.81,66057.53,65752.63,65846.5
SENSEX,2023-08-09,65810.96,66066.01,65444.38,65995.81
SENSEX,2023-08-10,65945.39,65956.25,65509.14,65688.18
SENSEX,2023-08-11,65727.8,65727.8,65274.61,65322.65
SENSEX,2023-08-14,65153.02,65517.82,64821.88,65401.92
SENSEX,2023-08-16,65238.67,65605.74,65032.89,65539.42
SENSEX,2023-08-17,65503.85,65535.14,65046.1,65151.02
SENSEX,2023-08-18,65025.71,65175.32,64754.72,64948.66
SENSEX,2023-08-21,64852.7,65335.82,64852.7,65216.09
SENSEX,2023-08-22,65272.42,65362.91,65165.45,65220.03
SENSEX,2023-08-23,65300.93,65504.71,65108.51,65433.3
SENSEX,2023-08-24,65722.51,65913.77,65181.94,65252.34
SENSEX,2023-08-25,65000.67,65106.0,64732.57,64886.51
SENSEX,2023-08-28,64908.08,65213.45,64776.92,64996.6
SENSEX,2023-08-29,65201.35,65229.03,64956.67,65075.82
SENSEX,2023-08-30,65311.58,65458.7,65052.74,65087.25
SENSEX,2023-08-31,65178.33,65277.04,64723.63,64831.41
SENSEX,2023-09-01,64855.51,65473.27,64818.37,65387.16
SENSEX,2023-09-04,65525.91,65683.91,65285.56,65628.14
SENSEX,2023-09-05,65671.6,65831.7,65601.47,65780.26
SENSEX,2023-09-06,65744.19,65971.13,65488.03,65880.52
SENSEX,2023-09-07,65854.25,66296.9,65672.34,66265.56
SENSEX,2023-09-08,66381.43,66766.92,66299.3,66598.91
SENSEX,2023-09-11,66807.73,67172.13,66735.84,67127.08
SENSEX,2023-09-12,67506.88,67539.1,66948.18,67221.13
SENSEX,2023-09-13,67188.64,67565.41,67053.36,67466.99
SENSEX,2023-09-14,67627.03,67771.05,67336.46,67519.0
SENSEX,2023-09-15,67659.91,67927.23,67614.42,67838.63
SENSEX,2023-09-18,67665.58,67803.15,67532.83,67596.84
SENSEX,2023-09-20,67080.18,67294.16,66728.14,66800.84
SENSEX,2023-09-21,66608.67,66608.67,66128.71,66230.24
SENSEX,2023-09-22,66215.04,66445.47,65952.83,66009.15
